spatial_freq_left,contrast_left,spatial_freq_right,contrast_right,response
16,0.243,0.5,0.013,left
4,0.092,0.5,0.013,left
4,0.243,0.5,0.005,left
4,0.013,0.5,0.64,right
4,0.005,16,0.035,left
0.5,0.035,0.5,0.013,left
16,0.64,16,0.035,left
4,0.243,4,0.035,left
0.5,0.035,0.5,0.243,right
16,0.035,16,0.005,left
16,0.243,4,0.092,right
16,0.035,0.5,0.005,right
16,0.013,0.5,0.005,right
0.5,0.092,4,0.005,left
16,0.243,16,0.035,left
16,0.092,16,0.64,right
0.5,0.243,4,0.092,left
16,0.013,0.5,0.243,right
4,0.035,0.5,0.013,left
0.5,0.243,16,0.035,left
16,0.013,4,0.64,right
0.5,0.035,4,0.013,right
16,0.035,4,0.243,right
4,0.035,0.5,0.005,left
4,0.013,16,0.64,right
16,0.092,4,0.005,right
0.5,0.64,0.5,0.243,left
16,0.005,0.5,0.64,right
16,0.092,4,0.092,right
4,0.092,0.5,0.005,left
0.5,0.243,4,0.64,right
4,0.013,16,0.243,right
16,0.092,4,0.243,right
0.5,0.005,16,0.005,left
4,0.243,4,0.005,left
16,0.092,4,0.64,right
0.5,0.64,4,0.64,right
4,0.243,16,0.243,left
16,0.243,0.5,0.005,left
4,0.005,4,0.035,right
4,0.035,0.5,0.243,left
4,0.092,16,0.035,left
16,0.013,16,0.64,right
16,0.243,4,0.64,right
4,0.64,0.5,0.035,left
4,0.092,16,0.005,left
0.5,0.013,0.5,0.64,right
16,0.64,4,0.092,left
16,0.005,16,0.64,right
4,0.035,16,0.013,left
16,0.092,0.5,0.243,right
16,0.092,16,0.005,left
0.5,0.092,0.5,0.005,left
4,0.243,4,0.092,left
4,0.013,4,0.092,right
4,0.092,0.5,0.035,left
4,0.64,0.5,0.005,left
4,0.64,0.5,0.013,left
0.5,0.005,4,0.013,right
0.5,0.005,0.5,0.64,right
16,0.035,0.5,0.64,right
4,0.013,4,0.005,left
16,0.64,16,0.243,left
16,0.013,4,0.013,right
16,0.64,0.5,0.005,left
4,0.64,16,0.005,left
16,0.013,0.5,0.035,right
16,0.013,16,0.243,right
16,0.092,0.5,0.64,right
16,0.092,16,0.243,right
4,0.013,16,0.092,left
4,0.243,0.5,0.013,left
16,0.092,16,0.035,left
0.5,0.013,16,0.005,left
4,0.013,0.5,0.092,right
0.5,0.092,16,0.092,left
16,0.005,4,0.013,right
16,0.013,4,0.005,right
4,0.005,0.5,0.243,right
4,0.035,4,0.092,right
4,0.64,16,0.035,left
4,0.64,0.5,0.092,left
16,0.64,0.5,0.013,left
0.5,0.64,16,0.64,left
0.5,0.035,16,0.243,left
16,0.005,0.5,0.035,right
0.5,0.092,4,0.035,left
0.5,0.035,16,0.035,left
16,0.243,0.5,0.64,right
0.5,0.64,4,0.243,left
0.5,0.013,16,0.035,left
0.5,0.035,4,0.005,left
16,0.005,4,0.005,right
0.5,0.64,0.5,0.035,left
4,0.092,0.5,0.64,right
4,0.64,4,0.035,left
16,0.005,0.5,0.092,right
16,0.035,4,0.035,right
16,0.005,4,0.035,right
16,0.092,0.5,0.005,left
4,0.243,0.5,0.243,left
4,0.243,4,0.64,right
0.5,0.035,0.5,0.005,left
16,0.005,16,0.013,right
0.5,0.243,16,0.243,left
4,0.035,16,0.64,right
0.5,0.035,16,0.092,left
16,0.013,4,0.243,right
0.5,0.64,16,0.013,left
16,0.64,4,0.243,right
16,0.013,0.5,0.092,right
0.5,0.092,4,0.092,left
16,0.035,16,0.013,right
16,0.035,0.5,0.092,right
0.5,0.013,4,0.005,right
16,0.035,4,0.013,right
0.5,0.005,0.5,0.243,right
4,0.013,4,0.035,right
4,0.005,16,0.243,right
4,0.243,16,0.005,left
16,0.005,0.5,0.243,right
0.5,0.092,4,0.243,right
4,0.092,4,0.005,left
4,0.005,4,0.64,right
0.5,0.013,4,0.013,left
4,0.092,16,0.013,left
0.5,0.013,0.5,0.005,left
0.5,0.013,16,0.092,left
4,0.035,0.5,0.035,right
16,0.013,16,0.092,right
4,0.092,4,0.64,right
4,0.035,16,0.243,right
16,0.64,4,0.64,left
16,0.64,0.5,0.035,left
4,0.005,0.5,0.64,right
0.5,0.013,0.5,0.243,right
16,0.013,0.5,0.013,right
4,0.013,0.5,0.243,right
4,0.013,4,0.243,right
4,0.005,0.5,0.005,left
16,0.243,0.5,0.092,right
16,0.005,16,0.243,right
16,0.64,0.5,0.243,left
4,0.013,4,0.64,right
16,0.64,4,0.005,left
0.5,0.64,0.5,0.092,left
0.5,0.035,0.5,0.092,right
0.5,0.64,4,0.035,left
0.5,0.092,0.5,0.013,left
0.5,0.092,16,0.64,right
0.5,0.092,0.5,0.243,right
0.5,0.035,4,0.243,right
16,0.092,4,0.035,left
0.5,0.005,4,0.243,right
0.5,0.035,16,0.005,left
0.5,0.092,4,0.013,left
0.5,0.013,4,0.243,right
4,0.005,4,0.64,right
0.5,0.005,16,0.013,right
16,0.035,0.5,0.005,left
16,0.092,4,0.092,right
16,0.013,4,0.243,right
0.5,0.013,16,0.64,right
0.5,0.035,0.5,0.005,left
4,0.092,16,0.64,right
16,0.243,0.5,0.243,right
0.5,0.092,4,0.035,left
16,0.64,4,0.64,right
16,0.005,4,0.035,right
0.5,0.013,4,0.64,right
0.5,0.243,16,0.013,left
16,0.092,4,0.243,right
0.5,0.013,16,0.035,left
16,0.005,0.5,0.005,right
0.5,0.243,4,0.035,left
4,0.005,16,0.013,left
16,0.64,0.5,0.035,left
4,0.035,4,0.092,right
16,0.243,16,0.64,right
16,0.64,16,0.005,left
0.5,0.243,0.5,0.035,left
4,0.243,4,0.005,left
0.5,0.64,0.5,0.013,left
16,0.64,4,0.013,left
4,0.005,4,0.092,right
0.5,0.013,4,0.013,right
4,0.013,0.5,0.005,left
4,0.035,16,0.013,left
4,0.64,16,0.005,left
4,0.092,4,0.013,left
4,0.035,4,0.013,left
16,0.035,0.5,0.243,right
16,0.243,0.5,0.005,left
0.5,0.64,0.5,0.092,left
0.5,0.035,0.5,0.092,right
0.5,0.092,4,0.092,right
16,0.005,4,0.092,right
16,0.013,4,0.64,right
16,0.035,4,0.243,right
0.5,0.005,4,0.005,right
16,0.005,4,0.013,right
4,0.64,16,0.092,left
16,0.013,16,0.64,right
4,0.035,16,0.092,left
16,0.035,16,0.092,right
4,0.005,0.5,0.243,right
0.5,0.243,4,0.243,left
0.5,0.092,4,0.243,right
4,0.013,0.5,0.243,right
16,0.64,4,0.005,left
4,0.64,4,0.035,left
16,0.005,16,0.243,right
16,0.005,4,0.243,right
16,0.243,4,0.64,right
16,0.092,16,0.013,left
16,0.035,16,0.013,right
16,0.013,16,0.243,right
16,0.243,4,0.092,right
4,0.243,0.5,0.035,left
16,0.64,16,0.092,left
0.5,0.64,0.5,0.035,left
0.5,0.243,16,0.005,left
4,0.013,16,0.092,left
16,0.013,0.5,0.035,right
4,0.035,0.5,0.013,left
4,0.243,16,0.64,right
0.5,0.243,4,0.092,left
0.5,0.243,4,0.64,right
0.5,0.092,16,0.005,left
16,0.243,0.5,0.64,right
0.5,0.005,16,0.092,right
0.5,0.64,16,0.64,left
4,0.243,4,0.013,left
16,0.013,0.5,0.092,right
16,0.035,4,0.092,right
4,0.243,4,0.035,left
16,0.013,0.5,0.64,right
0.5,0.005,4,0.64,right
0.5,0.013,16,0.005,left
4,0.013,0.5,0.64,right
4,0.035,16,0.64,right
0.5,0.013,0.5,0.035,right
4,0.005,16,0.005,left
16,0.005,16,0.092,right
0.5,0.092,0.5,0.243,right
0.5,0.243,0.5,0.005,left
16,0.243,16,0.035,left
0.5,0.035,4,0.64,right
0.5,0.092,4,0.64,right
0.5,0.64,4,0.005,left
4,0.005,16,0.035,left
4,0.013,4,0.64,right
0.5,0.005,0.5,0.092,right
0.5,0.035,4,0.013,right
0.5,0.243,16,0.64,right
4,0.243,16,0.243,left
0.5,0.005,0.5,0.013,right
4,0.035,0.5,0.035,left
4,0.035,0.5,0.64,right
4,0.013,4,0.005,left
4,0.092,4,0.243,right
0.5,0.035,4,0.092,right
4,0.013,16,0.243,right
16,0.035,4,0.013,right
16,0.092,0.5,0.092,right
4,0.092,4,0.64,right
16,0.092,0.5,0.035,right
4,0.092,0.5,0.005,left
4,0.092,16,0.013,left
16,0.243,4,0.005,left
0.5,0.243,0.5,0.013,left
0.5,0.092,0.5,0.013,left
0.5,0.64,0.5,0.005,left
16,0.243,4,0.035,right
0.5,0.013,16,0.243,right
16,0.64,0.5,0.092,left
16,0.035,0.5,0.035,right
16,0.035,16,0.005,left
4,0.005,0.5,0.092,right
0.5,0.013,16,0.013,left
4,0.243,0.5,0.64,right
4,0.035,16,0.035,left
4,0.64,4,0.243,left
16,0.092,4,0.005,right
0.5,0.013,16,0.092,left
0.5,0.64,16,0.005,left
0.5,0.243,0.5,0.64,right
0.5,0.035,16,0.243,right
0.5,0.64,4,0.092,left
0.5,0.005,4,0.035,right
0.5,0.64,16,0.035,left
4,0.013,16,0.013,left
16,0.243,0.5,0.092,right
4,0.005,0.5,0.013,left
16,0.005,16,0.013,right
0.5,0.005,16,0.64,right
0.5,0.64,4,0.64,right
16,0.092,0.5,0.64,right
0.5,0.013,4,0.092,right
4,0.005,0.5,0.035,right
16,0.092,0.5,0.243,right
0.5,0.092,16,0.035,left
4,0.64,16,0.035,left
16,0.092,16,0.243,right
4,0.005,4,0.035,right
16,0.035,16,0.64,right
16,0.092,16,0.013,left
0.5,0.005,4,0.64,right
16,0.092,0.5,0.64,right
0.5,0.035,4,0.035,right
4,0.243,0.5,0.005,left
0.5,0.092,4,0.64,right
16,0.005,0.5,0.013,right
0.5,0.013,0.5,0.243,right
16,0.013,4,0.092,right
16,0.005,16,0.013,right
4,0.005,0.5,0.035,right
0.5,0.035,16,0.005,left
4,0.005,16,0.005,left
0.5,0.005,16,0.013,right
16,0.013,4,0.035,right
16,0.013,16,0.035,right
0.5,0.005,4,0.013,right
16,0.243,4,0.013,left
16,0.005,16,0.092,right
16,0.64,16,0.005,left
4,0.013,4,0.005,left
0.5,0.243,4,0.092,right
0.5,0.64,4,0.092,left
4,0.64,0.5,0.013,left
4,0.005,0.5,0.092,right
0.5,0.035,4,0.243,right
16,0.013,0.5,0.035,right
4,0.64,4,0.005,left
4,0.013,0.5,0.092,right
0.5,0.013,4,0.035,right
16,0.005,0.5,0.64,right
0.5,0.64,4,0.64,right
0.5,0.243,4,0.243,right
4,0.092,4,0.243,right
0.5,0.64,4,0.243,left
4,0.092,0.5,0.005,left
16,0.013,0.5,0.243,right
